VOFA 参数 ID 对照表
生成依据：project/code/param_registry.def

ID  HEX   参数名                  作用
--  ----  ----------------------  ----
 1  0x01  Q_yaw                   旧姿态滤波 yaw 过程噪声参数；当前 660RC 四元数方案下基本保留兼容。
 2  0x02  Q_pr                    旧姿态滤波 pitch/roll 过程噪声参数；当前 660RC 四元数方案下基本保留兼容。
 3  0x03  Q_bias                  旧姿态滤波陀螺零偏过程噪声；当前 660RC 四元数方案下基本保留兼容。
 4  0x04  R_yaw                   旧姿态滤波 yaw 观测噪声；当前 660RC 四元数方案下基本保留兼容。
 5  0x05  R_pr                    旧姿态滤波 pitch/roll 观测噪声；当前 660RC 四元数方案下基本保留兼容。
 6  0x06  Speed_P                 速度外环 P，目标速度与实际速度误差输出给速度环结果。
 7  0x07  Speed_I                 速度外环 I，用于消除长期位置/速度偏差，过大会慢性发散或来回跑。
 8  0x08  Speed_D                 速度外环 D，目前一般不重点使用，用于速度变化阻尼。
 9  0x09  Angle_P                 角度环 P，姿态角误差输出角速度目标/扰动量。
10  0x0A  Angle_I                 角度环 I，用于修正平衡点附近长期单边跑。
11  0x0B  Angle_D                 角度环 D，用于抑制角度变化和中扰动超调。
12  0x0C  Gyro_P                  角速度内环 P，直接决定抑制角速度的力度。
13  0x0D  Gyro_I                  角速度内环 I，通常谨慎使用，用于角速度零偏残差补偿。
14  0x0E  Gyro_D                  角速度内环 D，用于抑制高频角速度变化，过大易抖。
15  0x0F  Target_Velocity         目标速度，遥控/WiFi/导航可能修改。当前腿部前后倾斜也会参考速度环结果。
16  0x10  Target_Angle            目标航向角/转向目标，方向环使用。
17  0x11  Target_Motor_Stand      车身平衡机械零点/站立角补偿。
18  0x12  Leg_Kp                  腿长/腿部高度控制 PID 的 P，当前具体作用取决于腿控是否启用。
19  0x13  Leg_Ki                  腿长/腿部高度控制 PID 的 I。
20  0x14  Leg_Kd                  腿长/腿部高度控制 PID 的 D。
21  0x15  X_Current               腿部五连杆目标 X 位置基础值，影响前后方向腿姿态。
22  0x16  Y_Current               腿部五连杆目标 Y 位置基础值，影响车身高度/腿长。
23  0x17  Air_Roll_P              空中/横滚辅助控制 P，主要用于跳跃/腾空相关姿态辅助。
24  0x18  Air_Roll_I              空中/横滚辅助控制 I。
25  0x19  Air_Roll_D              空中/横滚辅助控制 D。
26  0x1A  Direction_P             方向/航向环 P，用于根据目标航向生成差速转向。
27  0x1B  Direction_I             方向/航向环 I，用于消除长期航向偏差。
28  0x1C  Direction_D             方向/航向环 D，用于提供转向阻尼。
29  0x1D  Nav_Q_V                 惯导 EKF 线速度过程噪声，越大越不信模型预测速度。
30  0x1E  Nav_Q_W                 惯导 EKF 角速度过程噪声，越大越不信模型预测角速度。
31  0x1F  Nav_Q_Bias_Ax           惯导 EKF 加速度零偏游走噪声，影响加速度偏置估计速度。
32  0x20  Nav_Q_Bias_W            惯导 EKF 角速度零偏游走噪声，影响陀螺偏置估计速度。
33  0x21  Nav_R_V_Normal          惯导 EKF 正常状态下轮速线速度观测噪声，越小越信轮速。
34  0x22  Nav_R_V_Slip            惯导 EKF 打滑状态下线速度观测噪声，越大越不信轮速。
35  0x23  Nav_R_W_Normal          惯导 EKF 正常状态下角速度观测噪声，越小越信观测角速度。
36  0x24  Nav_R_W_Slip            惯导 EKF 打滑状态下角速度观测噪声，越大越不信轮速推导角速度。
37  0x25  Nav_R_Gyro              惯导 EKF 陀螺仪角速度观测噪声，越小越信 IMU gyro。
38  0x26  Mag_Offset_X            磁力计 X 偏置参数；当前更换 IMU 后基本保留兼容，暂不作为主导航依据。
39  0x27  Mag_Offset_Y            磁力计 Y 偏置参数；当前更换 IMU 后基本保留兼容。
40  0x28  Mag_Scale_X             磁力计 X 比例校准；当前基本保留兼容。
41  0x29  Mag_Scale_Y             磁力计 Y 比例校准；当前基本保留兼容。
42  0x2A  Leg_X_Gain              速度环输出映射到腿部 X 前后倾斜的增益。
43  0x2B  Leg_X_Limit             速度环映射到腿部 X 偏移的最大限幅。
44  0x2C  Leg_X_MinStep           腿部 X 偏移最小有效变化步长/死区，用于避免小抖动。
45  0x2D  Leg_X_StepLimit         腿部 X 偏移每周期最大变化量，用于限制舵机响应速度。
46  0x2E  Jump_Burst_PWM          跳跃爆发阶段舵机目标 PWM/力度参数。
